No.,Nama,Alamat,Negeri,Daerah,No. Tel,Fax
79,MASJID JAMEK PEKAN GEMAS,73400 GEMAS,N. SEMBILAN,TAMPIN,019-3402730,
80,MASJID JAMEK KUALA KLAWANG,"JALAN DATO' MENTERI, 71600 KUALA KLAWANG, NEGERI SEMBILAN DARUL KHUSUS.",N. SEMBILAN,JELEBU,-,-
81,MASJID MUADZAM SHAH,26700 BANDAR MUADZAM SHAH.,PAHANG,MUADZAM SHAH,,
82,MASJID SULTAN AHMAD SHAH AL-HAJ,JALAN MASJID 26600 PEKAN.,PAHANG,PEKAN,,
83,MASJID AT-TAQWA PERAMU,"PERUMAHAN DATO' SHAHBANDAR, PERAMU JAYA 2 26600 PEKAN",PAHANG,PEKAN,,
84,MASJID PADANG POLO,KAMPUNG PADANG POLO 26600 PEKAN.,PAHANG,PEKAN,,
85,MASJID TENGKU MAHKOTA ABDULLAH,"BANDAR KUALA ROMPIN, 26800 ROMPIN.",PAHANG,ROMPIN,,
86,MASJID DIRAJA TUANKU MUNAWIR,71550 SERI MENANTI,N. SEMBILAN,KUALA PILAH,,
87,MASJID JAMEK YAM TUAN RADEN,72000 KUALA PILAH,N. SEMBILAN,KUALA PILAH,013-9651157,
88,MASJID JAMEK PEKAN JOHOL,73100 JOHOL,N. SEMBILAN,KUALA PILAH,019-6173379,
89,MASJID ABU BAKAR,"TANAH RATA, 39000 CAMERON HIGHLANDS, PAHANG DARUL MAKMUR",PAHANG,CAMERON HIGHLANDS,192292297,
90,MASJID TENGKU AHMAD,"BANDAR LAMA, 27000 JERANTUT",PAHANG,JERANTUT,,
91,MASJID TENGKU MAHKOTA ABDULLAH,"JALAN JERANTUT-TEMERLOH, 27000 JERANTUT,",PAHANG,JERANTUT,,
92,MASJID AL HUSNA BANDAR TENGGARA,81000 KULAI,JOHOR,KOTA TINGGI,,
93,MASJID DAERAH BARAT DAYA,MASJID DAERAH BARAT DAYA SIMPANG EMPAT 11000 BALIK PULAU PULAU PINANG,PULAU PINANG,BARAT DAYA,04-8691420,04-8691422
94,"MASJID SAYYIDINA ALI, MASJID DAERAH MELAKA TENGAH","MASJID SAYYIDINA ALI, BUKIT KATIL, 75450 MELAKA",MELAKA,MELAKA TENGAH,06-2320617,06-2320617
95,MASJID SULTAN NAZRIN MUIZZUDDIN SHAH DAERAH TAPAH,"JALAN MASJID , 35000 TAPAH PERAK",PERAK,TAPAH,135813628,
96,MASJID SULTAN AHMAD SHAH,"BANDAR TUN ABDUL RAZAK JENGKA, 26400 BANDAR JENGKA",PAHANG,,,
97,MASJID SULTAN MAHMUD,"BANDAR KUALA LIPIS KUALA LIPIS,PAHANG.",PAHANG,LIPIS,192292297,
98,MASJID BANDAR BENTA,"BUDU, 27300 BENTA,KUALA LIPISPAHANG",PAHANG,LIPIS,011-31233438,
99,"MASJID NURUL HAYAT, PEKAN KUALA PENYU","D/A PEJABAT JABATAN HAL EHWAL AGAMA ISLAM NEGERI SABAH, PETI SURAT 41, 89747 KUALA PENYU.",SABAH,BPB - KUALA PENYU,087-884162,087-884162
100,MASJID AS- SYAKIRIN,BANDAR MARAN 26500 MARAN.,PAHANG,MARAN,,
101,MASJID SULTAN MAHMUD,"MASJID SULTAN MAHMUD, 49000, BUKIT FRASER PAHANG DARUL MAKMUR.",PAHANG,RAUB,011-29304340,
102,MASJID SULTAN ABU BAKAR,MASJID SULTAN ABU BAKARBANDAR RAUB 27600 RAUB.,PAHANG,RAUB,09-3551052,09-3551052
103,"MASJID HJ AG HASHIM, PEKAN SIPITANG","PEJABAT JHEAINS, BANGUNAN URUSETIA LAMA, P/S 133, 89857 SIPITANG",SABAH,BPB - SIPITANG,138556298,-
104,MASJID AL-ALAMI (MITC),"MASJID AL ALAMI MITC AYER KEROH,MELAKA",MELAKA,MELAKA TENGAH,06-2312581,06-2312581
105,MASJID AR-RASYIDIN MASJID DAERAH ALOR GAJAH,78000 ALOR GAJAH,MELAKA,ALOR GAJAH,06-5561254,06-5568662
106,MASJID ABU BAKAR TEMERLOH,"BANDAR TEMERLOH, 28000 TEMERLOH.",PAHANG,TEMERLOH,,
107,MASJID ABU BAKAR MENTAKAB,"BANDAR MENTAKAB, 28400 MENTAKAB.",PAHANG,TEMERLOH,,
108,MASJID DAERAH SEBERANG PERAI TENGAH,BANDAR PERDA14000 BUKIT MERTAJAM,PULAU PINANG,SEBERANG PERAI TENGAH,04-5401121,
109,MASJID DAERAH SEBERANG PERAI UTARA,TELOK AIR TAWAR BUTTERWORTH,PULAU PINANG,BUTTERWORTH,04-3519621,04-3516922
110,"MASJID DARUL IMAN, KPG SENARI","KPG SENARI, JALAN BAKO, KUCHING",SARAWAK,KUCHING,,
111,"MASJID DARUL IKHWAN, KPG MUARA TEBAS","KPG MUARA TEBAS,KUCHING",SARAWAK,KUCHING,145933115,
112,MASJID BANDARAYA KUCHING,"JLN DATUK AJIBAH ABOL, KUCHING",SARAWAK,KUCHING,,
113,MASJID TENGKU SULAIMAN,KAMPUNG KETARI 28700 BENTONG,PAHANG,BENTONG,-,
114,MASJID SULTAN HAJI AHMAD SHAH,BANDAR BENTONG 28700 BENTONG,PAHANG,BENTONG,09-2222724,09-2222724
115,MASJID JAMEK BANDAR KARAK,"BANDAR KARAK, 28600 KARAK,",PAHANG,BENTONG,92311537,-
116,MASJID SULTAN YUSSUF IZUDDIN SHAH,"MASJID DAERAH SRI ISKANDAR,32610 SERI ISKANDAR",PERAK,SERI ISKANDAR,,
117,"MASJID DARUL HANA, PANGKALAN POLIS MARIN","PANGKALAN POLIS MARIN, BINTAWA, KUCHING",SARAWAK,KUCHING,,
118,"MASJID DARUSSADAH, KPG TABUAN HILIR","KPG TABUAN HILIR, KUCHING",SARAWAK,PADAWAN,,
119,"MASJID DARUL FALAH, KPG TABUAN HAJI DRAHMAN","KPG TABUAN HAJI DRAHMAN, JLN FOOCHOW NO. 1, KUCHING",SARAWAK,BAU,,
120,"MASJID DARUL MUSYARAFAH, KPG MUHIBBAH","KPG MUHIBBAH, SEBERANG PENDING, KUCHING",SARAWAK,KUCHING,,
121,"MASJID DARUL ABIDIN, KPG TANJONG BAKO","KPG TANJONG BAKO, SEBERANG PENDING, KUCHING",SARAWAK,KUCHING,,
122,"MASJID DARUL AKHIRAT, KPG BERADEK","KPG BERADEK, SEBERANG GOEBILT, KUCHING",SARAWAK,KUCHING,,
123,"MASJID DARUL AQSA, KPG SEGEDUP","KPG SEGEDUP, JLN BATU KAWA, KUCHING",SARAWAK,BAU,,
124,"MASJID TENGKU MUHAMMAD FARIS PETRA, JAJAHAN K.KRAI","DAERAH KUALA KRAI, 18000 KUALA KRAI, KELANTAN.",KELANTAN,KUALA KRAI,,
125,"MASJID SULTAN MUHAMMAD III, JAJAHAN PASIR MAS","DAERAH PASIR MAS, 17000 PASIR MAS, KELANTAN.",KELANTAN,PASIR MAS,,
126,MASJID SULTAN YAHYA PETRA BANDAR MACHANG,"DAERAH MACHANG, 18500 MACHANG, KELANTAN.",KELANTAN,MACHANG,,
127,MASJID SELAT MELAKA,"MASJID SELAT MELAKA, BANDAR HILIR,MELAKA",MELAKA,MELAKA TENGAH,06-2824576,06-2824576
128,MASJID DARUL IMAN,"KAMPUNG MASJID, BAU",SARAWAK,BAU,,
129,MASJID KG. KURNIA SAKTI,KG. KURNIA SAKTI 84000 TANGKAK,JOHOR,TANGKAK,,
130,MASJID DARUL EHSAN,"KAMPUNG BUSO, BAU",SARAWAK,BAU,,
131,MASJID NURUL ASHIKIN,"KAMPUNG LIDAH TANAH, BAU",SARAWAK,BAU,,
132,MASJID JAMEK ISMAILI JAJAHAN TUMPAT,MASJID JAMEK ISMAILI JAJAHAN TUMPAT,KELANTAN,TUMPAT,97254317,09-7254317
133,"MASJID MAHMOODI, BANDAR BACHOK","DAERAH PERUPOK, 16300 BACHOK, KELANTAN.",KELANTAN,BACHOK,97783260,97783260
134,MASJID SULTAN ISMAIL PETRA,"DAERAH KUBANG KERIAN, 16150 KOTA BHARU, KELANTAN.",KELANTAN,KOTA BHARU,,
135,MASJID JAMEK ISMAIL PETRA TANAH MERAH,"BANDAR TANAH MERAH,17500 TANAH MERAH,KELANTAN DARUL NAIM",KELANTAN,TANAH MERAH,108431946,
136,MASJID SULTAN MUHAMMAD I,"DAERAH JELI, 17600 JELI, KELANTAN DARUL NAIM",KELANTAN,JELI,,
137,MASJID JAMEK IBRAHIMI PASIR PUTEH,"DAERAH LIMBONGAN,16800 PASIR PUTEH,KELANTAN.",KELANTAN,PASIR PUTEH,09-7862796,09-7862796
138,MASJID TENGKU MUHAMMAD FAIZ PETRA,"DAERAH GALAS, 18300 GUA MUSANG, KELANTAN.",KELANTAN,GUA MUSANG,,
139,"MASJID D`RAJA LONG YUNUS, LANGGAR","DAERAH KOTA BAHARU, 15200 KOTA BHARU, KELANTAN.",KELANTAN,KOTA BHARU,,
140,"MASJID SULTAN MUHAMMAD II, TELIPOT","JALAN TELIPOT, 15150 KOTA BHARU KELANTAN.",KELANTAN,KOTA BHARU,,
141,"MASJID BANDAR ANNUR, GUCHIL","DAERAH KUALA KRAI, 18000 KUALA KRAI, KELANTAN",KELANTAN,KUALA KRAI,,
142,MASJID AS-SALAM,"DAERAH KEMUMIN, 16100 KOTA BHARU, KELANTAN.",KELANTAN,KOTA BHARU,,
143,"MASJID AT-TAQWA, TAMAN PELANGI","JLN SRI PELANGI, TAMAN PELANGI",JOHOR,JOHOR BAHRU,,
144,MASJID BANDAR KLUANG,"JALAN SEKOLAH,KLUANG, JOHOR.",JOHOR,KLUANG,07-7771242,
145,MASJID BANDAR ENDAU,"JLN MASJID, 86900 ENDAU",JOHOR,MERSING,,
146,MASJID SULTAN ISKANDAR,JLN MASJID 86800 MERSING,JOHOR,MERSING,,
147,MASJID JAMEK DAERAH BAGAN SERAI,"34300 JALAN BESAR, BAGAN SERAI.",PERAK,BAGAN SERAI,013 5101354,
148,"MASJID AL-GHAFFAR, MASJID DAERAH JASIN","MASJID DAERAH JASIN, JALAN JASIN-MELAKA",MELAKA,JASIN,06-5296097,06-5291744
149,MASJID TUNKU LAKSAMANA TUNKU JALIL,"MUKIM 17, 83400 BATU PAHAT",JOHOR,BATU PAHAT,,
150,MASJID AL-SYIFA' BANDAR PENAWAR,81900 KOTA TINGGI,JOHOR,KOTA TINGGI,,
151,MASJID DAERAH TAIPING (KPG. JAMBU),"MASJID DAERAH TAIPING, JALAN LONG JAAFAR, 34000 TAIPING, PERAK.",PERAK,TAIPING / LARUT MATANG,127890156,
152,"MASJID. HANAFI, JLN TEMENGGONG","34000 TAIPING, PERAK.",PERAK,TAIPING / LARUT MATANG,019-5523131,
153,MASJID INDIA JALAN KOTA,"34000 TAIPING, PERAK",PERAK,TAIPING / LARUT MATANG,194273596,
154,MASJID TUN HUSSEIN ONN,JLN LANGKASUKA 80350 JOHOR BAHRU,JOHOR,JOHOR BAHRU,,
155,MASJID KG MELAYU MAJIDEE,JALAN MASJID KG MELAYU MAJIDEE,JOHOR,JOHOR BAHRU,,
156,MASJID DARUL IBADAH,"KAMPUNG BUNGA RAMPAI, BAU",SARAWAK,BAU,,
157,MASJID DAERAH SEBERANG PERAI SELATAN,SUNGAI JAWISEBERANG PERAI SELATAN,PULAU PINANG,SEBERANG PERAI SELATAN,04-5831341/0,04-5831341
158,MASJID BANDAR SEGAMAT,KM 1 JALAN BULOH KASAP85000 SEGAMAT,JOHOR,SEGAMAT,019-7511775,
159,MASJID PEKAN RENGIT,"MUKIM 12, 83400 BATU PAHAT",JOHOR,BATU PAHAT,,
160,MASJID AL-MUTTAQIN SEDILI BESAR,"SEDILI BESAR, 81910 KOTA TINGGI",JOHOR,KOTA TINGGI,,
161,MASJID BANDAR PONTIAN,JALAN ALSAGOFF,JOHOR,PONTIAN,76871926,07-6872644
162,MASJID BANDARAYA KOTA KINABALU,"JLN PASIR, TELUK LIKAS 89400, KOTA KINABALU",SABAH,PBS - KOTA KINABALU,088-241461,
163,MASJIDUR RAHMAN,"BANDAR SEMPORNA, D/A PETI SURAT NO.172, SEMPORNA",SABAH,TAW - SEMPORNA,089-784051,089-784052
164,MASJID AT-TAQWA PEKAN BARU,"MASJID AT-TAQWA PEKAN BARU JABATAN HAL EHWAL AGAMA ISLAM NEGERI SABAH, TINGKAT 2, BANGUNAN D.M.D, W.D.T 54 KOTA MARUDU",SABAH,PBU - KOTA MARUDU,088-661572,088-661572
165,MASJID BESAR SIM-SIM SANDAKAN,"PETI SURAT 1576, JALAN BULI SIM-SIM, SANDAKAN",SABAH,SAN - SANDAKAN,089-224567,089-227567
166,MASJID DAERAH KOTA KINABATANGAN,"MASJID DAERAH KINABATANGAN, KOTA KINABATANGAN",SABAH,SAN - KINABATANGAN,,
167,MASJID BANDAR KOTA TINGGI,JALAN LOMBONG KAMPUNG JAWAKOTA TINGGI JOHOR,JOHOR,KOTA TINGGI,,
168,MASJID DARUL FIKRI,"BANDAR BERA, 28200, BERA",PAHANG,BERA,,
169,MASJID AL-HIDAYAH KG MANGGIS,"KG MANGGIS,MENUMBOK",SABAH,BPB - MENUMBOK,,
170,MASJID SULTAN IBRAHIM,"MASJID JAMEK SULTAN IBRAHIM, MUAR",JOHOR,MUAR,,
171,MASJID RIDZWANIAH PEKAN BALING,MUKIM BALING 09100 BALINGKEDAH DARUL AMAN,KEDAH,BALING,,
172,MASJID TOH PUAN BESAR HATIJAH,"JALAN BESAR, 31000 BATU GAJAH PERAK",PERAK,BATU GAJAH,135131321,
173,MASJID SULTAN ISMAIL,JALAN BAKAU CONDONG 83000 BATU PAHAT,JOHOR,BATU PAHAT,,
174,MASJID DATO' BENTARA LUAR,JALAN AMPUAN 83000 BATU PAHAT,JOHOR,BATU PAHAT,,
175,MASJID PASIR PELANGI,JALAN PASIR PELANGI,JOHOR,JOHOR BAHRU,,
176,MASJID AL-HIDAYAH PEKAN NABAWAN,PETI SURAT 37,SABAH,BPA - NABAWAN,087-366780,087-366780
177,MASJID INABAH KAMAL,"KOMPLEX INABAH KAMAL, PETI SURAT NO.322, SEMPORNA",SABAH,TAW - SEMPORNA,089-784051,089-784052
178,MASJID AL- KHAIRIAH,"KG. BATU 10, LEKIR, 32020 SITIAWAN PERAK DARUL RIDZUAN",PERAK,MANJUNG,195183934,
179,MASJID AN- NURIAH,"KG. CHANGKAT CERMIN, 32400 AYER TAWAR, PERAK DARUL RIDZUAN",PERAK,MANJUNG,103134375,
180,MASJID AL-ADLY,"PEKAN LUMUT, 32200,LUMUT, PERAK",PERAK,MANJUNG,175158122,
181,MASJID AL ALIAH,"PEKAN PANTAI REMIS, 34900 PANTAI REMIS, PERAK",PERAK,MANJUNG,106025006,
182,MASJID AL FALAH,"KG. BATU 16, 32400 AYER TAWAR PERAK DARUL RIDZUAN",PERAK,MANJUNG,165341136,
183,MASJID AL GHUFRANIAH,"KG. TELOK (L) 32400 AYER TAWAR, PERAK",PERAK,MANJUNG,165363802,
184,MASJID AL ISMAILIAH,"KG. SG. TIRAM, 32020 SITIAWAN, PERAK",PERAK,MANJUNG,135285304,
185,MASJID AL KHAIRIAH,"KG. 40 RANTAI, 32500 CHANGKAT KRUING, PERAK",PERAK,MANJUNG,195125215,
186,MASJID AL KHAIRIAH,"KG. SITIAWAN 32000 SITIAWAN, PERAK",PERAK,MANJUNG,019-5580311,
187,MASJID AL KHAIRIAH,"KG. SUNGAI BATU, 34900, PANTAI REMIS,PERAK",PERAK,MANJUNG,142551050,
188,MASJID AL KHAIRIAH,"SG. PINANG KECIL, 32300 PULAU PANGKOR, PERAK",PERAK,MANJUNG,125573239,
189,MASJID AL RABBANIAH,"KG. BANJAR, 32400 AYER TAWAR, PERAK DARUL RIDZUAN",PERAK,MANJUNG,195468708,
190,MASJID AL WATANIAH,"PASIR PANJANG LAUT, 32040 SERI MANJUNG,PERAK",PERAK,MANJUNG,194249760,
191,MASJID AN NASRIYAH,"SIMPANG EMPAT,32000 SITIAWAN, PERAK",PERAK,MANJUNG,165266640,
192,MASJID AN NUR,PANGKALAN TLDM 32100 LUMUT PERAK DARUL RIDZUAN,PERAK,MANJUNG,125065627,
193,MASJID AL-AQSA,"KG. SG. RAMAI, 32400 AYER TAWAR, PERAK",PERAK,MANJUNG,175988653,
194,MASJID ARFIAH,"KG. BATU 3, SEGARI 32200 LUMUT, PERAK DARUL RIDZUAN",PERAK,MANJUNG,135136996,
